Timestamp,I would make a joke about my neighbor. But it would be too close to home,Blondes are confusing till what they are expensive till they are the best edest ride they are close at home.,"Why is the best part about being a joke? because if it would be home, I can close it home.",I would tell a joke about my neighbor is door. I would be a close to the home., When Is a door not a door? when it is ajar .,How do repnolds smell like your door? It is heading inside your door.,When is a door not a door ? It is ajar .,When is a door's favorite kind of door? When it is ajar.,What brand microphone did Kurt Cobain use? remingtoni head the feedback was hell.,How hell can't you feed golden movies decoration? because they are only fake ants.,What is the best part about a gay man? a large dog.,Feeds and feeds. Feed the hell outback .,What do you call an immigrant fighting a rapist? alien vs predator,Why do you really hate? Because he has a perfanoxious as the magical machine. Predator coat,What do you call a rapist that gets into a rapist? alien vs predator,What do you call a rapist with a rapist ? alien vs predator,I gave away all of my dead batteries free of charge .,How do you throw 1000 as a careries on particular car? Juan on charge.,Why did the electrons go to charge? because electrons was resisting a charge,Why did the neutron receive a nipple pierced? because of charge.
7/31/2021 17:43:51,3,3,4,4,3,3,4,4,4,4,3,4,3,4,3,3,4,4,4,4
7/31/2021 17:45:41,1,1,1,1,2,2,2,2,2,2,3,2,4,1,3,3,4,4,5,5
7/31/2021 17:47:49,3,3,3,4,2,3,4,4,3,5,3,3,3,1,2,3,4,4,3,3
7/31/2021 17:51:08,4,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1
7/31/2021 17:52:51,3,1,1,1,4,2,4,1,2,1,1,1,2,1,1,1,4,1,2,2
7/31/2021 17:55:50,5,3,3,3,5,4,4,1,3,2,1,4,3,5,5,5,5,3,5,5
7/31/2021 18:10:59,3,2,4,4,5,3,5,1,3,4,4,4,5,4,3,4,5,4,5,3
7/31/2021 18:15:16,4,3,2,4,2,3,3,4,2,2,3,2,1,1,2,3,4,1,4,4
7/31/2021 18:15:32,3,1,2,2,3,1,3,3,3,4,5,3,5,2,3,2,4,4,3,3
7/31/2021 18:15:57,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,4,1,1,1
7/31/2021 18:35:20,4,1,1,1,3,2,2,2,3,2,2,2,4,2,2,2,5,3,3,2
7/31/2021 18:39:31,5,1,1,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1
7/31/2021 18:55:21,3,4,4,4,5,5,5,4,3,4,3,5,4,4,4,4,5,4,5,3
7/31/2021 20:00:48,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,5,1,1,1
7/31/2021 20:09:07,4,2,5,5,5,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5
7/31/2021 20:12:33,3,1,1,1,4,1,4,1,1,1,1,1,3,1,1,1,2,1,1,1
7/31/2021 20:14:05,4,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,4,3,4,4
7/31/2021 20:19:55,3,2,3,4,2,1,3,4,4,4,4,3,2,3,2,1,4,3,4,3
7/31/2021 20:21:32,5,3,3,4,5,5,5,2,4,3,4,5,5,5,4,4,4,4,5,4
7/31/2021 23:03:19,3,1,1,1,4,2,3,1,1,2,1,2,3,1,1,1,4,1,4,2
8/1/2021 0:55:17,5,3,4,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,3,4
8/1/2021 11:13:58,5,2,3,1,4,2,5,2,5,2,2,2,5,2,2,2,5,2,3,2
8/1/2021 13:57:40,3,3,3,4,2,3,4,4,3,5,3,3,3,1,2,3,4,4,3,3
8/1/2021 15:54:39,4,3,5,5,3,4,4,4,4,3,3,5,4,3,3,3,4,3,3,4
8/1/2021 18:22:47,4,2,2,1,3,1,3,1,1,1,1,1,1,1,1,1,5,1,1,2
8/1/2021 18:27:54,5,4,4,5,3,4,4,2,5,4,4,4,4,5,4,4,5,5,5,4
8/1/2021 21:53:06,3,1,1,1,3,4,2,1,4,4,2,2,4,3,1,1,3,3,3,3
8/2/2021 1:10:13,2,4,4,4,5,4,5,5,4,4,4,5,4,4,4,4,5,4,5,5
